acc,taxid,organism,clade,taxon,slen
OP237572.1,2184446,"Baolia bracteata isolate p1-8 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237571.1,2184446,"Baolia bracteata isolate p1-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237570.1,2184446,"Baolia bracteata isolate p1-6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237569.1,2184446,"Baolia bracteata isolate p1-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237568.1,2184446,"Baolia bracteata isolate p1-4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237567.1,2184446,"Baolia bracteata isolate p1-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237566.1,2184446,"Baolia bracteata isolate p1-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OP237565.1,2184446,"Baolia bracteata isolate p1-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
OR820761.1,182105,"Ficus benjamina voucher ABANERJEE79952a ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1415
OR820760.1,182105,"Ficus benjamina voucher ABANERJEE79952 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1404
OR820758.1,54453,"Exbucklandia populnea voucher ABANERJEE74954 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1407
PX744324.1,357963,"UNVERIFIED: Angelica czernaevia voucher CPG74437 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744323.1,3463581,"UNVERIFIED: Stilbanthus scandens voucher CPG43833 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744322.1,2906033,"UNVERIFIED: Allmania nodiflora voucher CPG43832 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744321.1,2016423,"UNVERIFIED: Searsia paniculata voucher CPG43831 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744320.1,166607,"UNVERIFIED: Latouchea fokienensis voucher CPG43827 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1464
PX744319.1,2816892,"UNVERIFIED: Heteroplexis microcephala voucher CPG43826 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744318.1,3695101,"UNVERIFIED: Dicercoclados triplinervis voucher CPG43825 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744317.1,3233294,"UNVERIFIED: Dolichopetalum kwangsiense voucher CPG43822 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744316.1,2784202,"UNVERIFIED: Paralamium griffithii voucher CPG43820 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1473
PX744315.1,204170,"UNVERIFIED: Platostoma hispidum voucher CPG43818 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744314.1,3695193,"UNVERIFIED: Vincetoxicum auritum voucher CPG43823 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744313.1,2783717,"UNVERIFIED: Urariopsis brevissima voucher CPG43821 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744311.1,2184446,"UNVERIFIED: Baolia bracteata voucher CPG41494 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744310.1,596357,"UNVERIFIED: Kungia aliciae voucher CPG41473 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744309.1,2573088,"UNVERIFIED: Lonicera oblata voucher CPG63213 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744308.1,3695167,"UNVERIFIED: Lonicera kawakamii voucher CPG10265 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744307.1,555428,"UNVERIFIED: Dipsacus chinensis voucher CPG01147 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744306.1,239675,"UNVERIFIED: Seselopsis tianschanica voucher CPG73162 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744305.1,376675,"UNVERIFIED: Hyalolaena bupleuroides voucher CPG73145 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744304.1,2292105,"UNVERIFIED: Sanicula serrata voucher CPG61839 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744303.1,165502,"UNVERIFIED: Cyclorhiza peucedanifolia voucher CPG24051 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744302.1,2714098,"UNVERIFIED: Tongoloa dunnii voucher CPG23286 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744301.1,3695194,"UNVERIFIED: Peucedanum henryi voucher CPG23217 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744300.1,99525,"UNVERIFIED: Hymenidium decurrens voucher CPG15944 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744299.1,2968226,"UNVERIFIED: Acronema commutatum voucher CPG15922 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744298.1,2803371,"UNVERIFIED: Angelica morrisonicola voucher CPG10203 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744297.1,3695042,"UNVERIFIED: Aralia yunnanensis voucher CPG14724 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744296.1,3156154,"UNVERIFIED: Pittosporum heterophyllum voucher CPG14429 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744295.1,2291145,"UNVERIFIED: Pittosporum truncatum voucher CPG04628 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744294.1,3695196,"UNVERIFIED: Pittosporum elevaticostatum voucher CPG04434 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744293.1,3051033,"UNVERIFIED: Rhinactinidia limoniifolia voucher CPG73042 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744292.1,457731,"UNVERIFIED: Richteria pyrethroides voucher CPG72200 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744291.1,261601,"UNVERIFIED: Epilasia acrolasia voucher CPG72093 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744290.1,254925,"UNVERIFIED: Saussurea veitchiana voucher CPG65756 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744289.1,2651029,"UNVERIFIED: Saussurea tunglingensis voucher CPG65457 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744288.1,3695079,"UNVERIFIED: Cirsium viridifolium voucher CPG65455 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1431
PX744287.1,3695098,"UNVERIFIED: Echinops pseudosetifer voucher CPG65394 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744286.1,2893703,"UNVERIFIED: Saussurea macrota voucher CPG65332 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744285.1,3413294,"UNVERIFIED: Saussurea taipaiensis voucher CPG65294 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744284.1,446850,"UNVERIFIED: Saussurea sobarocephala voucher CPG65246 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744283.1,2651009,"UNVERIFIED: Saussurea licentiana voucher CPG65236 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744282.1,446846,"UNVERIFIED: Saussurea pectinata voucher CPG65151 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744281.1,466069,"UNVERIFIED: Chrysanthemum potentilloides voucher CPG65062 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744280.1,3695214,"UNVERIFIED: Senecio liangshanensis voucher CPG64408 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744279.1,1209456,"UNVERIFIED: Anaphalis delavayi voucher CPG64340 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744278.1,678543,"UNVERIFIED: Ligularia stenoglossa voucher CPG64307 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744277.1,2182739,"UNVERIFIED: Senecio nodiflorus voucher CPG64043 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744276.1,2126610,"UNVERIFIED: Ligularia myriocephala voucher CPG63947 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744275.1,3695215,"UNVERIFIED: Senecio lingianus voucher CPG63945 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744274.1,1798766,"UNVERIFIED: Cremanthodium rhodocephalum voucher CPG63911 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744273.1,2893708,"UNVERIFIED: Saussurea sylvatica voucher CPG63671 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744272.1,1209460,"UNVERIFIED: Anaphalis hancockii voucher CPG63637 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744271.1,3695159,"UNVERIFIED: Ligularia xanthotricha voucher CPG63578 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744270.1,2306218,"UNVERIFIED: Cirsium leo voucher CPG63524 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1446
PX744269.1,2721721,"UNVERIFIED: Cirsium handelii voucher CPG61890 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744268.1,3695221,"UNVERIFIED: Synotis austroyunnanensis voucher CPG61211 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744267.1,2779940,"UNVERIFIED: Leontopodium smithianum voucher CPG25717 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744266.1,238944,"UNVERIFIED: Saussurea iodostegia voucher CPG25708 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744265.1,3030890,"UNVERIFIED: Saussurea chinensis voucher CPG25698 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744264.1,3695223,"UNVERIFIED: Taraxacum platypecidum voucher CPG25612 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1446
PX744263.1,2806624,"UNVERIFIED: Poljakovia kaschgarica voucher CPG23967 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744262.1,3051046,"UNVERIFIED: Aster sphaerotus voucher CPG18700 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744261.1,2498569,"UNVERIFIED: Aster dolichophyllus voucher CPG18689 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744260.1,714449,"UNVERIFIED: Artemisia anomala voucher CPG18460 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744259.1,2836194,"UNVERIFIED: Erigeron patentisquamus voucher CPG14796 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744258.1,1209459,"UNVERIFIED: Anaphalis flavescens voucher CPG14063 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744257.1,2813356,"UNVERIFIED: Strobocalyx esculenta voucher CPG11246 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744256.1,2803372,"UNVERIFIED: Artemisia morrisonensis voucher CPG10271 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744255.1,2803373,"UNVERIFIED: Artemisia oligocarpa voucher CPG10256 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744254.1,2803535,"UNVERIFIED: Senecio morrisonensis voucher CPG10202 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744253.1,2570389,"UNVERIFIED: Aster taiwanensis voucher CPG09980 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744252.1,669126,"UNVERIFIED: Artemisia kawakamii voucher CPG09916 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744251.1,72955,"UNVERIFIED: Myriactis humilis voucher CPG09888 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744250.1,415507,"UNVERIFIED: Erigeron morrisonensis voucher CPG09839 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1479
PX744249.1,2744234,"UNVERIFIED: Pentaphragma spicatum voucher CPG42703 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744248.1,3020225,"UNVERIFIED: Adenophora wulingshanica voucher CPG65453 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744247.1,2555709,"UNVERIFIED: Asyneuma chinense voucher CPG10469 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744246.1,82276,"UNVERIFIED: Adenophora petiolata voucher CPG08276 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744245.1,2606427,"UNVERIFIED: Ilex nuculicava voucher CPG42508 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744244.1,505238,"UNVERIFIED: Ilex tamii voucher CPG42301 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744243.1,3695136,"UNVERIFIED: Ilex oligodonta voucher CPG00075 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744242.1,1501481,"UNVERIFIED: Leptorhabdos parviflora voucher CPG73142 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744241.1,3695192,"UNVERIFIED: Pedicularis stadlmanniana voucher CPG64278 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744240.1,2803520,"UNVERIFIED: Pedicularis ikomai voucher CPG10284 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744239.1,219605,"UNVERIFIED: Euphrasia transmorrisonensis voucher CPG10192 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744238.1,3025155,"UNVERIFIED: Gomphostemma microdon voucher CPG66140 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1461
PX744237.1,2904116,"UNVERIFIED: Nepeta prattii voucher CPG65446 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744236.1,2023969,"UNVERIFIED: Scutellaria macrodonta voucher CPG63464 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744235.1,2023965,"UNVERIFIED: Scutellaria hainanensis voucher CPG42773 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1461
PX744234.1,587659,"UNVERIFIED: Coleus carnosifolius voucher CPG42398 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744233.1,1898869,"UNVERIFIED: Leucas chinensis voucher CPG42378 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1467
PX744232.1,1368227,"UNVERIFIED: Gomphostemma arbusculum voucher CPG26313 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1467
PX744231.1,662934,"UNVERIFIED: Orthosiphon wulfenioides voucher CPG23205 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744230.1,3695155,"UNVERIFIED: Teucrium alborubrum voucher CPG23170 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1461
PX744229.1,3351361,"UNVERIFIED: Premna octonervia voucher CPG21984 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744228.1,2066559,"UNVERIFIED: Clerodendrum hainanense voucher CPG18426 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1461
PX744227.1,2263194,"UNVERIFIED: Salvia bifidocalyx voucher CPG14727 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744226.1,2798874,"UNVERIFIED: Scutellaria forrestii voucher CPG14548 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1461
PX744225.1,662925,"UNVERIFIED: Isodon rosthornii voucher CPG14547 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744224.1,2953181,"UNVERIFIED: Phlomoides tibetica voucher CPG13524 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1467
PX744223.1,3234209,"UNVERIFIED: Scutellaria chungtienensis voucher CPG10502 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744222.1,2856447,"UNVERIFIED: Phlomoides szechuanensis voucher CPG06032 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1467
PX744221.1,3695062,"UNVERIFIED: Callicarpa anisophylla voucher CPG01171 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1443
PX744220.1,3036801,"UNVERIFIED: Mackaya neesiana voucher CPG44269 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1440
PX744219.1,3695154,"UNVERIFIED: Justicia championii voucher CPG42547 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744218.1,3695218,"UNVERIFIED: Staurogyne stenophylla voucher CPG42525 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744217.1,1685537,"UNVERIFIED: Cosmianthemum viriduliflorum voucher CPG42448 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744216.1,3351459,"UNVERIFIED: Staurogyne sinica voucher CPG42331 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744215.1,3040083,"UNVERIFIED: Vandellia megaphylla voucher CPG42313 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744214.1,1500985,"UNVERIFIED: Lindernia scutellariiformis voucher CPG22052 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1464
PX744213.1,1970673,"UNVERIFIED: Scrophularia modesta voucher CPG63437 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744212.1,2292707,"UNVERIFIED: Myoporum bontioides voucher CPG42108 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744211.1,1970674,"UNVERIFIED: Scrophularia moellendorffii voucher CPG25700 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744210.1,3138702,"UNVERIFIED: Scrophularia mandarinorum voucher CPG14445 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1407
PX744209.1,1196860,"UNVERIFIED: Linaria thibetica voucher CPG64148 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744208.1,1569045,"UNVERIFIED: Veronica henryi voucher CPG61833 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744207.1,3144080,"UNVERIFIED: Veronicastrum stenostachyum subsp. plukenetii voucher CPG44096 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1431
PX744206.1,202417,"UNVERIFIED: Veronica piroliformis voucher CPG14798 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744205.1,195133,"UNVERIFIED: Veronica morrisonicola voucher CPG10233 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744204.1,2803543,"UNVERIFIED: Veronica oligosperma voucher CPG09829 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744203.1,165345,"UNVERIFIED: Veronicastrum stenostachyum voucher CPG00663 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1425
PX744202.1,3695189,"UNVERIFIED: Ornithoboea calcicola voucher CPG64683 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744201.1,656646,"UNVERIFIED: Oreocharis convexa voucher CPG64349 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744200.1,2170487,"UNVERIFIED: Oreocharis flavida voucher CPG42796 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744199.1,2170486,"UNVERIFIED: Oreocharis dasyantha voucher CPG42494 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744198.1,2839772,"UNVERIFIED: Middletonia changjiangensis voucher CPG42293 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1440
PX744197.1,1523615,"UNVERIFIED: Middletonia hainanensis voucher CPG42254 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744196.1,1032939,"UNVERIFIED: Metapetrocosmea peltata voucher CPG42059 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1452
PX744195.1,1032915,"UNVERIFIED: Cathayanthe biflora voucher CPG41926 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1455
PX744194.1,656652,"UNVERIFIED: Glabrella mihieri voucher CPG24287 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744193.1,1245219,"UNVERIFIED: Petrocodon tiandengensis voucher CPG24089 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744192.1,411103,"UNVERIFIED: Oreocharis auricula voucher CPG18505 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744191.1,3695188,"UNVERIFIED: Oreocharis obliqua voucher CPG11277 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744190.1,2728884,"UNVERIFIED: Oreocharis maximowiczii voucher CPG05450 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744189.1,3695152,"UNVERIFIED: Jasminum duclouxii voucher CPG62012 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1401
PX744187.1,3695153,"UNVERIFIED: Jasminum rehderianum voucher CPG42473 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744186.1,126434,"UNVERIFIED: Jasminum sinense voucher CPG18679 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744185.1,2803516,"UNVERIFIED: Ligustrum morrisonense voucher CPG09936 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744184.1,1288257,"UNVERIFIED: Rindera tetraspis voucher CPG72660 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744183.1,1245795,"UNVERIFIED: Pseudoheterocaryum rigidum voucher CPG72227 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744182.1,3695122,"UNVERIFIED: Eritrichium borealisinense voucher CPG63472 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744181.1,1421720,"UNVERIFIED: Bothriospermum secundum voucher CPG63263 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1446
PX744180.1,1330297,"UNVERIFIED: Bothriospermum kusnezowii voucher CPG60045 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744179.1,3695120,"UNVERIFIED: Ehretia hainanensis voucher CPG42395 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1464
PX744177.1,3695123,"UNVERIFIED: Eritrichium laxum voucher CPG15465 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1449
PX744176.1,3695185,"UNVERIFIED: Maharanga waddellii voucher CPG15305 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744175.1,3695182,"UNVERIFIED: Microula hispidissima voucher CPG15288 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744174.1,2684248,"UNVERIFIED: Trigonotis cavaleriei voucher CPG14130 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1428
PX744173.1,3417261,"UNVERIFIED: Lappula caespitosa voucher CPG13194 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744172.1,3417266,"UNVERIFIED: Lappula himalayensis voucher CPG12150 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744171.1,2803932,"UNVERIFIED: Trigonotis nankotaizanensis voucher CPG10299 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744170.1,3695119,"UNVERIFIED: Ehretia corylifolia voucher CPG01768 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1458
PX744169.1,1097638,"UNVERIFIED: Solanum nienkui voucher CPG42302 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744168.1,3695175,"UNVERIFIED: Lycianthes yunnanensis voucher CPG18072 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1434
PX744167.1,3695180,"UNVERIFIED: Sinomarsdenia incisa voucher CPG66079 rbcL gene, partial sequence; chloroplast",Eudicots,eudicotyledons,1410
