arm,acc,taxid,organism,clade,slen,heldout_donor_species
B1_sparse_clade,PZ246802.1,3736301,"Skeletonema sp. T81661-2 strain CNS01018 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246801.1,3736301,"Skeletonema sp. T81661-2 strain CNS01017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246800.1,3736301,"Skeletonema sp. T81661-2 strain CNS00929 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246799.1,3736301,"Skeletonema sp. T81661-2 strain CNS00928 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246798.1,3736301,"Skeletonema sp. T81661-2 strain CNS00847 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246797.1,3736301,"Skeletonema sp. T81661-2 strain CNS00188 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246796.1,3736301,"Skeletonema sp. T81661-2 strain CNS00165 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246795.1,3736301,"Skeletonema sp. T81661-2 strain CNS00164 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,PZ246794.1,3736301,"Skeletonema sp. T81661-2 strain CNS00163 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Diatoms,1473,False
B1_sparse_clade,LC899187.1,3468572,"Pyropia akasakae UM-AK7 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,1467,True
B1_sparse_clade,LC899186.1,3468572,"Pyropia akasakae UM-AK2 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,1467,True
B1_sparse_clade,LC899185.1,3468572,"Pyropia akasakae UM-AK1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,1467,True
B1_sparse_clade,PZ428753.1,3712376,"Gracilaria sp. T80190-1 strain A49-2017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,1433,False
B1_sparse_clade,PZ428751.1,3712376,"Gracilaria sp. T80190-1 strain A47-2017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,1433,False
B1_sparse_clade,PZ428750.1,3712376,"Gracilaria sp. T80190-1 strain A46-2017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,1433,False
B1_sparse_clade,LC859596.1,991853,"Trichocolea japonica TNS:Osaku s.n. chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Liverworts,1428,True
B1_sparse_clade,LC859595.1,991853,"Trichocolea japonica TNS:Osaku 2409-035 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,1428,True
B1_sparse_clade,LC859594.1,991853,"Trichocolea japonica TNS:Osaku 2408-029 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,1428,True
B1_sparse_clade,LC859593.1,991853,"Trichocolea japonica TNS:Osaku 2406-020 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,1428,True
B1_sparse_clade,LC859592.1,991853,"Trichocolea japonica TNS:M. Higuchi 53740 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase larg",Liverworts,1428,True
B1_sparse_clade,PZ055818.1,2923095,"Lineaperpetua lacustris strain AJA080-04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) mRNA, part",Diatoms,1431,False
B1_sparse_clade,PZ055817.1,2934185,"Thalassiosira livingstoniorum strain AJA302-05 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) mRNA",Diatoms,1473,False
B1_sparse_clade,PV536184.1,1881117,"Nitzschia traheaformis voucher 23.0801-OM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, par",Diatoms,1445,False
B1_sparse_clade,PV536183.1,1881117,"Nitzschia traheaformis voucher 23.0320-SC ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, par",Diatoms,1433,False
B1_sparse_clade,PV536182.1,1881117,"Nitzschia traheaformis voucher 23.0715-SK ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, par",Diatoms,1445,False
B1_sparse_clade,PV536180.1,1881117,"Nitzschia traheaformis voucher 23.0715-SP ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, par",Diatoms,1445,False
B1_sparse_clade,PV536177.1,1881117,"Nitzschia traheaformis voucher 23.0824-SM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, par",Diatoms,1445,False
B1_sparse_clade,PV536175.1,1881117,"Nitzschia traheaformis voucher 24.0408-OL1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, pa",Diatoms,1445,False
B1_sparse_clade,PV262182.1,2846827,"Climaconeis scalaris isolate 1916 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Diatoms,1405,False
B1_sparse_clade,PV262181.1,2846827,"Climaconeis scalaris isolate 1914 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Diatoms,1429,False
B1_sparse_clade,PV262180.1,2846827,"Climaconeis scalaris isolate 1917 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Diatoms,1429,False
B1_sparse_clade,PV262179.1,2846827,"Climaconeis scalaris isolate 1913 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Diatoms,1429,False
B1_sparse_clade,PV262178.1,2846827,"Climaconeis scalaris isolate 1912 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Diatoms,1429,False
B1_sparse_clade,PV262176.1,2846830,"Climaconeis sp. isolate 1910 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chl",Diatoms,1429,False
B1_sparse_clade,PV262175.1,3707477,"Climaconeis sp. T79660-1 isolate 1920 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial",Diatoms,1429,False
B1_sparse_clade,PV262173.1,3707477,"Climaconeis sp. T79660-1 isolate 1922 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial",Diatoms,1410,False
B1_sparse_clade,PV262172.1,3707477,"Climaconeis sp. T79660-1 isolate 1919 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial",Diatoms,1429,False
B1_sparse_clade,PX921143.1,3447035,"Nitzschia ventricosa strain SZCZE423 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial ",Diatoms,1405,False
B1_sparse_clade,LC176262.1,1891216,"Weissia exserta chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,1428,False
B1_sparse_clade,LC176261.1,200775,"Weissia controversa chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,LC176260.1,324331,"Weisiopsis anomala chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,1428,True
B1_sparse_clade,LC176259.1,301340,"Tuerckheimia svihlae chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Mosses,1428,False
B1_sparse_clade,LC176258.1,1891215,"Trichostomum platyphyllum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,False
B1_sparse_clade,LC176257.1,200771,"Trichostomum crispulum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,LC176256.1,301324,"Trichostomum brachydontium chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,1428,False
B1_sparse_clade,LC176255.1,187995,"Streblotrichum convolutum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,False
B1_sparse_clade,LC176254.1,301337,"Chionoloma angustatum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,1428,False
B1_sparse_clade,LC176253.1,200743,"Pottiopsis caespitosa chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,1428,False
B1_sparse_clade,LC176252.1,301336,"Chionoloma tenuirostre chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,LC176251.1,81812,"Hymenostylium recurvirostrum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, co",Mosses,1428,False
B1_sparse_clade,LC176250.1,1297384,"Hydrogonium hiroshii chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Mosses,1428,False
B1_sparse_clade,LC176249.1,1891214,"Hymenostylium aurantiacum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,False
B1_sparse_clade,LC176248.1,1891213,"Gymnostomiella longinervis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,1428,False
B1_sparse_clade,LC176247.1,200714,"Eucladium verticillatum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Mosses,1428,False
B1_sparse_clade,LC176245.1,1978239,"Didymodon japonicus chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,LC176244.1,98502,"Pleuridium nitidum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,1428,False
B1_sparse_clade,LC176243.1,226472,"Ditrichum heteromallum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,AB970712.1,2602718,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,1428,True
B1_sparse_clade,AB970711.1,2602718,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,1428,True
B1_sparse_clade,AB970710.1,2602717,"Clastobryellina merrillii chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,False
B1_sparse_clade,AB853080.1,93848,"Tortella tortuosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,",Mosses,1428,False
B1_sparse_clade,AB853079.1,226498,"Timmiella anomala chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,",Mosses,1428,True
B1_sparse_clade,AB853078.1,1249008,"Pachyneuropsis miyagii chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,AB853077.1,324319,"Luisierella barbula chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,AB853076.1,324319,"Luisierella barbula chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,AB853075.1,146586,"Scopelophila cataractae chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Mosses,1428,False
B1_sparse_clade,AB853074.1,1401241,"Hyophila propagulifera chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,AB853073.1,1401240,"Hypnodontopsis apiculatus chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,True
B1_sparse_clade,AB853072.1,98464,"Distichium capillaceum chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,1428,False
B1_sparse_clade,AB853071.1,590002,"Drummondia sinensis chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,AB796436.1,455265,"Dichelyma japonicum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Mosses,1428,False
B1_sparse_clade,AB796435.1,2058262,"Yakushimabryum tonkinense chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,1428,False
B1_sparse_clade,LC183795.1,1902366,"Weissia newcomeri HIRO:Y. Inoue 2781 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC183794.1,301304,"Weissia longidens HIRO:Y. Inoue 918 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183793.1,1891216,"Weissia exserta HIRO:Y. Inoue 1788a chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183792.1,1891216,"Weissia exserta HIRO:Y. Inoue 912 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,1428,False
B1_sparse_clade,LC183791.1,3699342,"Weissia parajaponica HIRO: Y. Inoue 3951 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large",Mosses,1428,False
B1_sparse_clade,LC183790.1,3109235,"Weissia kiiensis HIRO:T. Sato 1430 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subun",Mosses,1428,False
B1_sparse_clade,LC183789.1,3109235,"Weissia kiiensis HIRO: Y. Inoue 3826 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC183788.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 3816 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183787.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 3813 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183786.1,3699342,"Weissia parajaponica HIRO:S. Uchida 10685 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase larg",Mosses,1428,False
B1_sparse_clade,LC183785.1,3699216,"Weissia japonica HIRO:Y. Inoue 3947 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183784.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3925 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183783.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3912 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183782.1,3699216,"Weissia japonica HIRO:Y. Inoue 3830 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183781.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3910 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183780.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3864 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183779.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3849 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183778.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 3183 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183777.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 3169 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183776.1,3699342,"Weissia parajaponica HIRO:Y. Inoue 3143 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large ",Mosses,1428,False
B1_sparse_clade,LC183775.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 2606 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183774.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 1816 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183773.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 1788b chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC183772.1,3109235,"Weissia kiiensis HIRO:Y. Inoue 1493 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC183771.1,3699342,"Weissia parajaponica HIRO:S. Uchida 10069 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase larg",Mosses,1428,False
B1_sparse_clade,LC183770.1,200775,"Weissia controversa MUB:34121 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, c",Mosses,1428,False
B1_sparse_clade,LC183769.1,200775,"Weissia controversa HIRO:Y. Inoue 2580 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,False
B1_sparse_clade,LC183768.1,200775,"Weissia controversa HIRO:Y. Inoue 2564 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,False
B1_sparse_clade,LC183767.1,200775,"Weissia controversa HIRO:Y. Inoue 2524 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,False
B1_sparse_clade,LC183766.1,200775,"Weissia controversa HIRO:Y. Inoue 1783 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,False
B1_sparse_clade,LC183765.1,200775,"Weissia controversa HIRO:H. Tsubota 7704 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large",Mosses,1428,False
B1_sparse_clade,LC183764.1,301306,"Weissia condensa MUB:41163 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,1428,False
B1_sparse_clade,LC183763.1,1902365,"Trachycarpidium lonchophyllum SP:O. Yano & B.L. Morretes 28820 chloroplast rbcL gene for ribulose 1,5-bisphosphate carbo",Mosses,1428,False
B1_sparse_clade,LC924968.1,205458,"Okamuraea brachydictyon TNS:MH:256045 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,False
B1_sparse_clade,LC924967.1,205458,"Okamuraea brachydictyon TNS:MH:258477 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,False
B1_sparse_clade,LC924966.1,205458,"Okamuraea brachydictyon TNS:MH:257348 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,False
B1_sparse_clade,LC924965.1,205458,"Okamuraea brachydictyon TNS:MH:256051 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,False
B1_sparse_clade,LC924964.1,98946,"Myuroclada maximowiczii TNS:MH:257334 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,True
B1_sparse_clade,LC924963.1,3699218,"Thamnobryum subseriatum TNS:MH:276665 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,1428,False
B1_sparse_clade,LC924962.1,3699219,"Fabronia matsumurae TNS:MH:256189 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,1428,False
B1_sparse_clade,LC924961.1,3699219,"Fabronia matsumurae TNS:MH:256396 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,1428,False
B1_sparse_clade,LC924960.1,3699219,"Fabronia matsumurae TNS:MH:258470 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,1428,False
B1_sparse_clade,LC924959.1,3699219,"Fabronia matsumurae TNS:MH:256173 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,1428,False
B1_sparse_clade,LC924958.1,70131,"Climacium dendroides TNS:MH:250884 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Mosses,1428,False
B1_sparse_clade,LC924957.1,2927994,"Leskeella pusilla TNS:MH:256064 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Mosses,1428,False
B1_sparse_clade,LC924956.1,2927994,"Leskeella pusilla TNS:MH:257345 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Mosses,1428,False
B1_sparse_clade,LC924955.1,2927994,"Leskeella pusilla TNS:MH:257706 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Mosses,1428,False
B1_sparse_clade,LC924954.1,186715,"Taxiphyllum taxirameum TNS:MH:258406 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC924953.1,186715,"Taxiphyllum taxirameum TNS:MH:257116 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC924952.1,186715,"Taxiphyllum taxirameum TNS:MH:250883 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC924951.1,186715,"Taxiphyllum taxirameum TNS:MH:256184 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,1428,False
B1_sparse_clade,LC924950.1,98943,"Calohypnum plumiforme TNS:MH:256414 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,True
B1_sparse_clade,LC924949.1,98943,"Calohypnum plumiforme TNS:MH:258474 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,True
B1_sparse_clade,LC924948.1,98943,"Calohypnum plumiforme TNS:MH:257329 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,True
B1_sparse_clade,LC924947.1,1141594,"Homomallium connexum TNS:MH:276664 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Mosses,1428,False
B1_sparse_clade,LC924946.1,99398,"Cratoneuron filicinum TNS:MH:250888 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC924945.1,99398,"Cratoneuron filicinum TNS:MH:250893 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,1428,False
B1_sparse_clade,LC924944.1,2164116,"Pylaisiadelpha yokohamae TNS:MH:256171 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,True
B1_sparse_clade,LC924943.1,2164116,"Pylaisiadelpha yokohamae TNS:MH:250857 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,True
B1_sparse_clade,LC924942.1,2164116,"Pylaisiadelpha yokohamae TNS:MH:258506 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,True
B1_sparse_clade,LC924941.1,2164116,"Pylaisiadelpha yokohamae TNS:MH:250882 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,1428,True
