acc,clade,organism,raw_len,has_cds,codon_start,recovered,cds_len,naive_mod3,naive_stops,cds_mod3,cds_stops,naive_ok,cds_ok
PV575330,Brown algae,"Dictyota coriacea voucher KS21 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",1407,True,1,False,1407,0,0,0,0,True,True
PV575329,Brown algae,"Dictyota coriacea voucher KS20 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",1407,True,1,False,1407,0,0,0,0,True,True
PV575327,Brown algae,"Dictyota coriacea voucher D05 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",1410,True,1,False,1410,0,0,0,0,True,True
PV575326,Brown algae,"Dictyota coriacea voucher D04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",1410,True,1,False,1410,0,0,0,0,True,True
PV575315,Brown algae,"Dictyota coriacea voucher THIZU06 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",1404,True,1,False,1404,0,0,0,0,True,True
PV575300,Brown algae,"Dictyota spinulosa voucher GIN06 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds;",1407,True,1,False,1407,0,0,0,0,True,True
PV575240,Brown algae,"Dictyota spathulata voucher D21 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ",1407,True,1,False,1407,0,0,0,0,True,True
PV575229,Brown algae,"Rugulopteryx okamurae voucher AWA14 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial c",1407,True,1,False,1407,0,0,0,0,True,True
LC493746,Brown algae,"Ecklonia radicosa KU-d23429 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,31,0,0,False,True
LC493745,Brown algae,"Ecklonia radicosa KU-d23428 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,31,0,0,False,True
LC658364,Brown algae,"Asterocladon rhodochortonoides Oodo2 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",1450,True,2,False,1449,1,49,0,0,False,True
LC658363,Brown algae,"Asterocladon rhodochortonoides Oodo1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",1441,True,2,False,1440,1,49,0,0,False,True
LC658362,Brown algae,"Asterocladon rhodochortonoides Haemita chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",1450,True,2,False,969,1,47,0,0,False,True
LC658361,Brown algae,"Asterocladon rhodochortonoides Bise chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",1442,True,3,False,1440,2,40,0,0,False,True
LC658360,Brown algae,"Asterocladon rhodochortonoides Tokashiki2 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase larg",1435,True,2,False,1434,1,49,0,0,False,True
LC658359,Brown algae,"Asterocladon rhodochortonoides Tokashiki1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase larg",1412,True,3,False,1410,2,38,0,0,False,True
LC600458,Brown algae,"Dictyosiphon sp. NH1 personal: Hiroshi Kawai: KU-d15317 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/",1401,True,1,False,1401,0,0,0,0,True,True
LC600457,Brown algae,"Dictyosiphon sp. NH1 personal: Hiroshi Kawai: KU-d15158 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/",1401,True,1,False,1401,0,0,0,0,True,True
LC600456,Brown algae,"Dictyosiphon sparsus personal: Hiroshi Kawai: KU-d12879 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/",1401,True,1,False,1401,0,0,0,0,True,True
LC600454,Brown algae,"Dictyosiphon hirsutus KU-MACC: KU-2976 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",1404,True,1,False,1404,0,0,0,0,True,True
LC600453,Brown algae,"Dictyosiphon hirsutus KU-MACC: KU-297 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",1404,True,1,False,1404,0,0,0,0,True,True
LC600451,Brown algae,"Dictyosiphon foeniculaceus KU-MACC: KU-2972 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase la",1404,True,1,False,1404,0,0,0,0,True,True
LC600450,Brown algae,"Dictyosiphon foeniculaceus KU-MACC: KU-2966 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase la",1404,True,1,False,1404,0,0,0,0,True,True
LC600449,Brown algae,"Dictyosiphon ekmanii KU-MACC: KU-2979 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",1421,True,3,False,1419,2,35,0,0,False,True
LC600448,Brown algae,"Dictyosiphon chordaria KU-MACC: KU-2978 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",1412,True,3,False,1410,2,35,0,0,False,True
LC600447,Brown algae,"Dictyosiphon asiaticus personal: Hiroshi Kawai: KU-d21759 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylas",1403,True,3,False,1401,2,34,0,0,False,True
LC600446,Brown algae,"Dictyosiphon asiaticus personal: Hiroshi Kawai: KU-d12892 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylas",1401,True,1,False,1401,0,0,0,0,True,True
LC600445,Brown algae,"Dictyosiphon asiaticus personal: Hiroshi Kawai: KU-d5884 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1403,True,3,False,1401,2,34,0,0,False,True
LC719608,Brown algae,"Eudesme sp. 1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds, spec",1404,True,1,False,1404,0,0,0,0,True,True
LC630912,Brown algae,"Petroderma maculiforme personal: Hiroshi Kawai: KU-d2216 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1414,True,2,False,1413,1,45,0,0,False,True
LC630910,Brown algae,"Porterinema fluviatile SAG:2381 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",1406,True,3,False,1404,2,35,0,0,False,True
LC618955,Brown algae,"Punctaria sp. JP3 personal: Hiroshi Kawai: KU-d4429 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxyg",1413,True,1,False,1413,0,0,0,0,True,True
LC618951,Brown algae,"Punctaria occidentalis personal: Hiroshi Kawai: KU-d4752 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1411,True,2,False,1410,1,48,0,0,False,True
LC603809,Brown algae,"Striaria attenuata personal:Hiroshi Kawai:KU-d17414 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxyg",1401,True,1,False,1401,0,0,0,0,True,True
LC603808,Brown algae,"Setoutiphycus delamareoides personal:Hiroshi Kawai:KU-d17418 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxy",1401,True,1,False,1401,0,0,0,0,True,True
LC603807,Brown algae,"Delamarea attenuata personal:Hiroshi Kawai:KU-d5871 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxyg",1401,True,1,False,1401,0,0,0,0,True,True
LC603806,Brown algae,"Asterocladon lobatum KU-MACC KU-1881 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",1413,True,1,False,1413,0,0,0,0,True,True
LC600589,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d21758 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/",1404,True,1,False,1404,0,0,0,0,True,True
LC600588,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d13230 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/",1404,True,1,False,1404,0,0,0,0,True,True
LC600587,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d3080 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600586,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d3079 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600585,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d3070 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600584,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d3069 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600583,Brown algae,"Saundersella simplex personal: Hiroshi Kawai: KU-d3068 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600582,Brown algae,"Saundersella hattoriana personal: Hiroshi Kawai: KU-d12886 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxyla",1413,True,1,False,1413,0,0,0,0,True,True
LC600581,Brown algae,"Saundersella hattoriana personal: Hiroshi Kawai: KU-d12885 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxyla",1413,True,1,False,1413,0,0,0,0,True,True
LC600580,Brown algae,"Saundersella crassa personal: Hiroshi Kawai: KU-d12890 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600579,Brown algae,"Saundersella crassa personal: Hiroshi Kawai: KU-d12889 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC600578,Brown algae,"Saundersella crassa personal: Hiroshi Kawai: KU-d12878 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/o",1404,True,1,False,1404,0,0,0,0,True,True
LC493757,Brown algae,"Macrocystis integrifolia KU-MACC:KU-1450 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large",1406,True,3,False,1404,2,34,0,0,False,True
LC493756,Brown algae,"Eisenia nipponica KU-d23430 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,32,0,0,False,True
LC493755,Brown algae,"Eisenia nipponica KU-d22747 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,32,0,0,False,True
LC493754,Brown algae,"Eisenia nipponica KU-d17533 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,32,0,0,False,True
LC493753,Brown algae,"Eisenia nipponica KU-d17529 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, par",1403,True,3,False,1401,2,32,0,0,False,True
LC493750,Brown algae,"Ecklonia arborea KU-d11870 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, part",1403,True,3,False,1401,2,30,0,0,False,True
LC493749,Brown algae,"Ecklonia arborea KU-MACC:KU-790 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",1412,True,3,False,1410,2,31,0,0,False,True
LC493748,Brown algae,"Ecklonia cava subsp. stolonifera KU-d22052 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase lar",1403,True,3,False,1401,2,31,0,0,False,True
LC493744,Brown algae,"Ecklonia maxima KU-MACC:KU-1125 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",1412,True,3,False,1410,2,32,0,0,False,True
LC493743,Brown algae,"Ecklonia cava subsp. kurome KU-d21813 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",1403,True,3,False,1401,2,31,0,0,False,True
LC493742,Brown algae,"Ecklonia cava subsp. kurome KU-d19040 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",1403,True,3,False,1401,2,31,0,0,False,True
LC493741,Brown algae,"Ecklonia cava KU-d22395 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial",1403,True,3,False,1401,2,31,0,0,False,True
LC493740,Brown algae,"Ecklonia cava KU-d19481 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial",1403,True,3,False,1401,2,31,0,0,False,True
LC483678,Brown algae,"Planosiphon nakamurae personal: Hiroshi Kawai: KU-d22996 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1406,True,3,False,1404,2,29,0,0,False,True
LC483677,Brown algae,"Planosiphon nakamurae personal: Hiroshi Kawai: KU-d16935 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1401,True,1,False,1401,0,0,0,0,True,True
LC483676,Brown algae,"Planosiphon nakamurae personal: Hiroshi Kawai: KU-d13504 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase",1408,True,2,False,1407,1,52,0,0,False,True
LC472408,Brown algae,"Scytosiphon lomentaria KU-d16391 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",1401,True,1,False,1401,0,0,0,0,True,True
LC472407,Brown algae,"Planosiphon zosterifolius KU-d17056 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",1403,True,3,False,1401,2,30,0,0,False,True
LC472406,Brown algae,"Planosiphon gracilis KU-d16960 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, ",1401,True,1,False,1401,0,0,0,0,True,True
LC472405,Brown algae,"Petalonia fascia KU-d20586 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, part",1401,True,1,False,1401,0,0,0,0,True,True
LC472404,Brown algae,"Hydroclathrus clathratus KU-d11892 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",1412,True,3,False,1410,2,32,0,0,False,True
LC472403,Brown algae,"Dactylosiphon bullosus KU-d19722 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",1401,True,1,False,1401,0,0,0,0,True,True
LC472402,Brown algae,"Colpomenia claytoniae KU-d11891 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",1411,True,2,False,1410,1,45,0,0,False,True
LC472401,Brown algae,"Melanosiphon intestinalis KU-d12900 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",1411,True,2,False,1410,1,48,0,0,False,True
LC472400,Brown algae,"Melanosiphon intestinalis KU-d13231 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",1405,True,2,False,1404,1,48,0,0,False,True
LC472399,Brown algae,"Melanosiphon intestinalis KU-d8800 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",1411,True,2,False,1410,1,48,0,0,False,True
LC472397,Brown algae,"Myelophycus simplex KU-d14167 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472396,Brown algae,"Myelophycus simplex KU-d15030 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472395,Brown algae,"Myelophycus simplex KU-d15007 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472394,Brown algae,"Myelophycus simplex KU-d14783 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472393,Brown algae,"Myelophycus simplex KU-d14773 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472392,Brown algae,"Myelophycus simplex KU-d14787 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472391,Brown algae,"Myelophycus simplex KU-d14786 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472390,Brown algae,"Myelophycus simplex KU-d14128 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472389,Brown algae,"Myelophycus simplex KU-d14804 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472388,Brown algae,"Myelophycus simplex KU-d13985 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472387,Brown algae,"Myelophycus simplex KU-d14142 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, p",1401,True,1,False,1401,0,0,0,0,True,True
LC472386,Brown algae,"Myelophycus caespitosus KU-d19217 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1400,True,1,False,1398,2,0,0,0,False,True
LC472385,Brown algae,"Myelophycus caespitosus KU-d19216 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472384,Brown algae,"Myelophycus caespitosus KU-d11901 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472383,Brown algae,"Myelophycus caespitosus KU-d14261 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472382,Brown algae,"Myelophycus caespitosus KU-d17902 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472381,Brown algae,"Myelophycus caespitosus KU-d14145 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472380,Brown algae,"Myelophycus caespitosus KU-d19245 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472379,Brown algae,"Myelophycus caespitosus KU-d19244 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472378,Brown algae,"Myelophycus caespitosus KU-d5410 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",1401,True,1,False,1401,0,0,0,0,True,True
LC472377,Brown algae,"Myelophycus caespitosus KU-d17671 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472376,Brown algae,"Myelophycus caespitosus KU-d14157 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
LC472375,Brown algae,"Myelophycus caespitosus KU-d15024 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",1401,True,1,False,1401,0,0,0,0,True,True
