acc,taxid,slen,organelle_class
NC_002652.1,3037,73345,photosynthetic plastid
NC_002658.1,10169,16626,mitochondrion
NC_002659.1,4952,47916,mitochondrion
NC_002660.1,115425,16022,mitochondrion
NC_002672.1,147464,17070,mitochondrion
NC_002673.1,147466,17061,mitochondrion
NC_002674.1,136300,16653,mitochondrion
NC_002693.2,85636,165728,photosynthetic plastid
NC_002694.1,34305,150519,photosynthetic plastid
NC_002697.1,235600,15837,mitochondrion
NC_002707.2,7937,16685,mitochondrion
NC_002734.2,61084,16542,mitochondrion
NC_002735.1,48717,15455,mitochondrion
NC_002744.2,8499,17900,mitochondrion
NC_002746.1,37698,16852,mitochondrion
NC_002756.1,297010,16650,mitochondrion
NC_002761.2,7943,18705,mitochondrion
NC_002762.1,4565,134545,photosynthetic plastid
NC_002763.1,9514,16554,mitochondrion
NC_002764.1,9546,16586,mitochondrion
NC_002765.1,9470,16764,mitochondrion
NC_002767.1,6216,13900,mitochondrion
NC_002772.2,8805,18305,mitochondrion
NC_002778.2,8787,16756,mitochondrion
NC_002780.1,159310,17289,mitochondrion
NC_002781.3,30468,16701,mitochondrion
NC_002782.2,8823,16980,mitochondrion
NC_002783.2,8795,16749,mitochondrion
NC_002784.1,8790,16711,mitochondrion
NC_002785.1,8801,16595,mitochondrion
NC_002793.1,8517,16633,mitochondrion
NC_002805.1,8409,17804,mitochondrion
NC_002807.1,7764,17168,mitochondrion
NC_002808.1,162630,17088,mitochondrion
NC_002811.1,9477,16927,mitochondrion
NC_002812.1,148607,16577,mitochondrion
NC_002813.1,83875,16559,mitochondrion
NC_002980.1,74940,16644,mitochondrion
NC_003029.1,5911,47577,mitochondrion
NC_003033.1,134600,16968,mitochondrion
NC_003039.1,9337,17191,mitochondrion
NC_003040.1,3371150,17488,mitochondrion
NC_003041.1,3369700,16312,mitochondrion
NC_003048.1,82268,29593,mitochondrion
NC_003049.1,5334,49704,mitochondrion
NC_003053.1,60187,68834,mitochondrion
NC_003055.1,2885,58507,mitochondrion
NC_003057.1,6850,14985,mitochondrion
NC_003058.1,111067,15630,mitochondrion
NC_003061.1,109760,1381,mitochondrion
NC_003081.2,7070,15881,mitochondrion
NC_003086.1,34513,14291,mitochondrion
NC_003095.1,109271,16006,mitochondrion
NC_003096.1,8276,15845,mitochondrion
NC_003097.1,42892,16675,mitochondrion
NC_003119.8,3880,124033,photosynthetic plastid
NC_003127.1,7892,16572,mitochondrion
NC_003128.3,30397,18674,mitochondrion
NC_003136.1,7871,18580,mitochondrion
NC_003137.1,7792,16708,mitochondrion
NC_003159.1,68509,17814,mitochondrion
NC_003160.1,143313,16221,mitochondrion
NC_003161.1,143314,16061,mitochondrion
NC_003162.1,143315,15737,mitochondrion
NC_003163.1,143322,16239,mitochondrion
NC_003164.1,143323,15985,mitochondrion
NC_003165.1,81370,15598,mitochondrion
NC_003166.1,143894,16162,mitochondrion
NC_003167.1,143325,15987,mitochondrion
NC_003168.1,143327,16079,mitochondrion
NC_003169.1,143328,15942,mitochondrion
NC_003172.1,143334,16387,mitochondrion
NC_003173.1,94939,16065,mitochondrion
NC_003175.1,71674,15780,mitochondrion
NC_003176.1,143345,15973,mitochondrion
NC_003177.1,143348,16306,mitochondrion
NC_003178.1,143306,16650,mitochondrion
NC_003179.1,143307,16645,mitochondrion
NC_003181.1,143326,16473,mitochondrion
NC_003182.1,48193,16685,mitochondrion
NC_003183.1,129043,16499,mitochondrion
NC_003184.1,143332,16527,mitochondrion
NC_003185.1,143336,16555,mitochondrion
NC_003186.1,88713,16530,mitochondrion
NC_003187.1,143337,16528,mitochondrion
NC_003188.1,88663,16529,mitochondrion
NC_003189.1,47700,16531,mitochondrion
NC_003191.1,143339,16508,mitochondrion
NC_003192.1,43700,16622,mitochondrion
NC_003193.1,143340,16498,mitochondrion
NC_003194.1,143342,16717,mitochondrion
NC_003195.1,143344,16728,mitochondrion
NC_003196.1,143350,17031,mitochondrion
NC_003290.1,37003,17329,mitochondrion
NC_003314.1,29137,16850,mitochondrion
NC_003321.1,9261,16360,mitochondrion
NC_003322.1,29139,16996,mitochondrion
NC_003342.1,7883,16403,mitochondrion
NC_003343.1,174156,14868,mitochondrion
NC_003344.1,174155,15133,mitochondrion
NC_003372.1,184539,15880,mitochondrion
NC_003386.1,3240,138829,photosynthetic plastid
NC_003388.1,51453,42130,mitochondrion
NC_003395.1,7092,15928,mitochondrion
NC_003408.1,93934,16697,mitochondrion
NC_003415.1,51022,13721,mitochondrion
NC_003416.2,51031,13605,mitochondrion
NC_003426.1,9643,16841,mitochondrion
NC_003427.1,9644,17020,mitochondrion
NC_003428.1,29073,17017,mitochondrion
NC_003489.1,7998,16497,mitochondrion
NC_003522.1,70783,18338,mitochondrion
NC_003712.2,54971,16725,mitochondrion
NC_003713.2,185689,16791,mitochondrion
NC_003920.1,27288,25753,mitochondrion
NC_003970.1,71223,17739,mitochondrion
NC_004021.1,113097,16418,mitochondrion
NC_004022.1,6204,13709,mitochondrion
NC_004023.1,29084,15413,mitochondrion
NC_004024.1,80365,38007,mitochondrion
NC_004026.1,29082,16641,mitochondrion
NC_004027.1,73815,16571,mitochondrion
NC_004028.1,9983,17734,mitochondrion
NC_004029.2,62698,16565,mitochondrion
NC_004030.2,34886,16638,mitochondrion
NC_004031.1,482537,16748,mitochondrion
NC_004032.1,48850,16395,mitochondrion
NC_004069.1,9886,16354,mitochondrion
NC_004115.1,96477,131183,photosynthetic plastid
NC_004118.1,96477,56574,mitochondrion
NC_004251.1,6736,15717,mitochondrion
NC_004298.1,6279,13657,mitochondrion
NC_004299.1,31033,16447,mitochondrion
NC_004309.1,81824,76568,mitochondrion
NC_004312.1,4899,44227,mitochondrion
NC_004321.1,189538,14472,mitochondrion
NC_004332.1,4897,80059,mitochondrion
NC_004336.1,5207,24874,mitochondrion
NC_004357.1,6938,14398,mitochondrion
NC_004370.1,34615,14539,mitochondrion
NC_004372.1,94919,16601,mitochondrion
NC_004373.1,181393,16613,mitochondrion
NC_004374.1,181397,16579,mitochondrion
NC_004375.1,181404,16495,mitochondrion
NC_004376.1,181406,16495,mitochondrion
NC_004378.1,228346,16564,mitochondrion
NC_004379.1,69944,16527,mitochondrion
NC_004380.1,8073,16479,mitochondrion
NC_004383.1,717990,16657,mitochondrion
NC_004384.1,181425,16758,mitochondrion
NC_004385.1,120839,16487,mitochondrion
NC_004386.1,126353,16566,mitochondrion
NC_004387.1,8090,16714,mitochondrion
NC_004388.1,33528,16614,mitochondrion
NC_004389.1,88671,16508,mitochondrion
NC_004390.1,181429,16508,mitochondrion
NC_004391.1,88656,16511,mitochondrion
NC_004392.1,181435,16567,mitochondrion
NC_004393.1,107241,16535,mitochondrion
NC_004394.1,181437,16541,mitochondrion
NC_004395.1,181438,16526,mitochondrion
NC_004396.1,181440,16848,mitochondrion
NC_004397.1,181443,16843,mitochondrion
NC_004398.1,181445,16750,mitochondrion
NC_004399.1,181447,16745,mitochondrion
NC_004400.1,166256,16479,mitochondrion
NC_004401.1,181450,16152,mitochondrion
NC_004402.1,181453,16751,mitochondrion
NC_004403.1,181455,16526,mitochondrion
NC_004404.1,137881,16561,mitochondrion
NC_004405.1,3049902,16556,mitochondrion
NC_004406.1,181461,16593,mitochondrion
NC_004407.1,181464,16502,mitochondrion
NC_004408.1,181466,16496,mitochondrion
NC_004409.1,2607498,16697,mitochondrion
NC_004410.1,283025,16522,mitochondrion
NC_004411.1,57847,16680,mitochondrion
NC_004412.1,181472,16496,mitochondrion
NC_004413.1,1312387,16534,mitochondrion
NC_004414.1,86220,16518,mitochondrion
NC_004415.1,86232,16522,mitochondrion
NC_004416.1,181478,16584,mitochondrion
NC_004417.1,139722,16579,mitochondrion
NC_004418.1,178879,16627,mitochondrion
NC_004419.1,7913,16512,mitochondrion
NC_004420.1,178880,16493,mitochondrion
NC_004449.1,1042646,16571,mitochondrion
NC_004454.2,109461,16476,mitochondrion
NC_004465.1,194544,15101,mitochondrion
NC_004514.1,2231603,24499,mitochondrion
NC_004530.1,8228,16520,mitochondrion
NC_004537.1,7741,15076,mitochondrion
NC_004538.1,37083,17611,mitochondrion
NC_004539.1,50365,16737,mitochondrion
NC_004543.1,48387,161162,photosynthetic plastid
NC_004561.1,33113,156687,photosynthetic plastid
NC_004563.1,9888,16354,mitochondrion
NC_004570.1,51511,14737,mitochondrion
NC_004575.1,46218,16687,mitochondrion
NC_004577.1,71854,16357,mitochondrion
NC_004590.1,170189,16644,mitochondrion
NC_004591.1,170193,17338,mitochondrion
NC_004592.1,75939,17157,mitochondrion
NC_004593.1,8010,16695,mitochondrion
NC_004594.1,61620,16508,mitochondrion
NC_004595.1,170196,16627,mitochondrion
NC_004596.1,170199,16620,mitochondrion
NC_004597.1,170202,16632,mitochondrion
NC_004598.1,170203,16563,mitochondrion
NC_004599.1,137522,16598,mitochondrion
NC_004600.1,170206,16645,mitochondrion
NC_004622.2,7119,15566,mitochondrion
NC_004623.1,224131,24169,mitochondrion
NC_004624.1,224130,60432,mitochondrion
NC_004677.2,88728,117190,photosynthetic plastid
NC_004691.1,284593,20063,mitochondrion
NC_004692.1,36673,15897,mitochondrion
NC_004693.1,29144,16231,mitochondrion
NC_004694.1,149978,16665,mitochondrion
NC_004695.1,149980,16572,mitochondrion
NC_004696.1,149982,16559,mitochondrion
NC_004697.1,1604542,16529,mitochondrion
NC_004698.1,149983,16831,mitochondrion
NC_004699.1,42486,16652,mitochondrion
NC_004700.1,42552,16850,mitochondrion
NC_004701.1,480914,16571,mitochondrion
NC_004702.1,149986,16536,mitochondrion
NC_004742.1,7924,16210,mitochondrion
NC_004743.1,7904,16692,mitochondrion
NC_004744.1,7918,16330,mitochondrion
NC_004760.1,109764,19473,mitochondrion
NC_004766.1,13818,150568,photosynthetic plastid
NC_004799.1,280699,149987,photosynthetic plastid
NC_004815.1,8508,15181,mitochondrion
NC_004816.1,159971,16924,mitochondrion
NC_004823.1,5802,34750,apicoplast (rbcL-less)
NC_004826.2,60517,13703,mitochondrion
NC_004918.1,27293,30782,mitochondrion
NC_004919.1,9813,16743,mitochondrion
NC_004920.1,185453,16652,mitochondrion
NC_004921.1,213657,16677,mitochondrion
NC_004926.1,141262,16503,mitochondrion
NC_004946.1,3708,11640,mitochondrion
NC_004993.1,212734,153337,photosynthetic plastid
NC_005033.1,217708,17283,mitochondrion
NC_005034.1,106106,16904,mitochondrion
NC_005035.1,62295,16814,mitochondrion
NC_005037.1,210409,16026,mitochondrion
NC_005044.2,9925,16643,mitochondrion
NC_005055.1,110108,17717,mitochondrion
NC_005086.1,13333,162686,photosynthetic plastid
NC_005129.2,9783,16902,mitochondrion
NC_005145.1,54904,16619,mitochondrion
NC_005146.1,63415,16628,mitochondrion
NC_005212.1,32536,17047,mitochondrion
NC_005251.1,27687,16674,mitochondrion
NC_005252.1,61971,16760,mitochondrion
NC_005253.2,5480,32745,mitochondrion
NC_005254.2,54341,16600,mitochondrion
NC_005255.1,55564,67737,mitochondrion
NC_005256.1,37727,35438,mitochondrion
NC_005257.1,154811,16611,mitochondrion
NC_005268.1,27602,16390,mitochondrion
NC_005269.1,27604,16383,mitochondrion
NC_005270.1,9764,16412,mitochondrion
NC_005271.1,9767,16417,mitochondrion
NC_005272.1,27615,16406,mitochondrion
NC_005273.1,48744,16346,mitochondrion
NC_005274.1,48742,16346,mitochondrion
NC_005275.1,48752,16324,mitochondrion
NC_005276.1,9725,16588,mitochondrion
NC_005277.1,48723,16593,mitochondrion
NC_005279.1,40151,16383,mitochondrion
NC_005280.1,9742,16382,mitochondrion
NC_005291.1,176285,14418,mitochondrion
NC_005292.1,181088,14686,mitochondrion
NC_005293.1,65647,15007,mitochondrion
NC_005305.1,6287,13814,mitochondrion
NC_005306.1,6674,15923,mitochondrion
NC_005313.1,217026,16501,mitochondrion
NC_005314.1,51337,16546,mitochondrion
NC_005315.1,30637,16408,mitochondrion
NC_005316.1,8226,16515,mitochondrion
NC_005317.1,8235,16527,mitochondrion
NC_005318.1,13353,16506,mitochondrion
NC_005332.1,2903,29013,mitochondrion
NC_005333.1,104688,15815,mitochondrion
NC_005334.1,35052,16472,mitochondrion
NC_005335.1,81578,16060,mitochondrion
NC_005353.1,3055,203828,photosynthetic plastid
NC_005358.1,9978,16481,mitochondrion
NC_005433.1,169756,16851,mitochondrion
NC_005434.1,159859,16869,mitochondrion
NC_005435.1,62275,17105,mitochondrion
NC_005436.1,105295,16976,mitochondrion
NC_005437.1,89825,15267,mitochondrion
NC_005438.1,221270,15075,mitochondrion
NC_005439.1,6526,13670,mitochondrion
NC_005450.1,214486,16525,mitochondrion
NC_005451.1,62061,16438,mitochondrion
NC_005779.1,7226,14964,mitochondrion
NC_005780.1,7238,14950,mitochondrion
NC_005781.1,7240,14972,mitochondrion
NC_005794.2,30335,17374,mitochondrion
NC_005795.1,7903,16537,mitochondrion
NC_005796.1,121285,16188,mitochondrion
NC_005797.1,8296,16369,mitochondrion
NC_005798.1,54905,16713,mitochondrion
NC_005799.1,118141,16412,mitochondrion
NC_005801.1,143900,16649,mitochondrion
NC_005802.1,118157,17843,mitochondrion
NC_005803.1,7928,16120,mitochondrion
NC_005804.1,7932,16686,mitochondrion
NC_005805.1,118154,16166,mitochondrion
NC_005820.1,34594,14378,mitochondrion
NC_005825.1,191871,15452,mitochondrion
NC_005826.1,33562,15350,mitochondrion
NC_005827.1,6500,14117,mitochondrion
NC_005828.1,37696,16629,mitochondrion
NC_005829.1,33559,16727,mitochondrion
NC_005834.1,61976,16483,mitochondrion
NC_005836.1,94237,16488,mitochondrion
NC_005837.1,223211,16481,mitochondrion
NC_005840.1,203167,13932,mitochondrion
NC_005870.1,29022,14922,mitochondrion
NC_005878.2,193079,141182,photosynthetic plastid
NC_005924.1,1649374,14215,mitochondrion
NC_005925.1,29017,13874,mitochondrion
NC_005926.1,160070,95880,mitochondrion
NC_005927.1,153609,109103,mitochondrion
NC_005928.1,208518,12626,mitochondrion
NC_005929.1,28833,17538,mitochondrion
NC_005930.1,869195,17329,mitochondrion
NC_005931.1,2489341,15599,mitochondrion
NC_005932.1,57242,16223,mitochondrion
NC_005933.1,8851,16870,mitochondrion
NC_005935.1,260819,15102,mitochondrion
NC_005936.1,36137,15634,mitochondrion
NC_005938.1,1519145,18372,mitochondrion
NC_005939.1,30099,15723,mitochondrion
NC_005940.1,36100,16907,mitochondrion
NC_005941.1,34508,13925,mitochondrion
NC_005942.1,130930,14381,mitochondrion
NC_005943.1,9544,16564,mitochondrion
NC_005944.1,36667,16324,mitochondrion
NC_005958.1,278977,16016,mitochondrion
NC_005959.1,52224,16583,mitochondrion
NC_005960.1,8519,17072,mitochondrion
NC_005961.1,711330,16218,mitochondrion
NC_005962.1,885424,17184,mitochondrion
NC_005963.1,65637,14740,mitochondrion
NC_005971.1,9915,16341,mitochondrion
NC_005972.1,1247836,23114,mitochondrion
NC_005984.1,4770,46930,mitochondrion
NC_006050.1,34301,159930,photosynthetic plastid
NC_006074.1,280588,12984,mitochondrion
NC_006075.1,50589,13809,mitochondrion
NC_006076.1,36977,14996,mitochondrion
NC_006077.1,28985,40291,mitochondrion
NC_006078.1,59655,15053,mitochondrion
NC_006079.1,58777,15111,mitochondrion
NC_006080.1,89055,15152,mitochondrion
NC_006081.1,280675,15994,mitochondrion
NC_006083.1,34758,11423,mitochondrion
NC_006131.1,267130,16663,mitochondrion
NC_006133.1,285953,16004,mitochondrion
NC_006136.1,211488,16580,mitochondrion
NC_006137.1,285951,183883,photosynthetic plastid
NC_006158.1,13262,15721,mitochondrion
NC_006162.1,55752,14492,mitochondrion
NC_006279.1,7038,15322,mitochondrion
NC_006280.1,88556,18414,mitochondrion
NC_006281.1,6763,16263,mitochondrion
NC_006282.1,261503,16988,mitochondrion
NC_006283.1,94420,16730,mitochondrion
NC_006284.1,273519,17423,mitochondrion
NC_006285.1,261498,16659,mitochondrion
NC_006286.1,273520,16222,mitochondrion
NC_006287.1,52188,16412,mitochondrion
NC_006288.1,273521,16200,mitochondrion
NC_006290.1,4054,156318,photosynthetic plastid
NC_006291.1,217509,16580,mitochondrion
NC_006292.1,267835,15080,mitochondrion
NC_006293.1,266495,15107,mitochondrion
NC_006295.1,3119969,16359,mitochondrion
NC_006299.1,13616,17079,mitochondrion
NC_006301.1,194526,15897,mitochondrion
NC_006302.1,194415,15986,mitochondrion
NC_006303.1,194408,16422,mitochondrion
NC_006304.1,261001,15973,mitochondrion
NC_006305.1,262585,16432,mitochondrion
NC_006321.1,292503,15538,mitochondrion
NC_006325.1,291263,19631,mitochondrion
NC_006326.1,107992,16731,mitochondrion
NC_006327.1,154579,20197,mitochondrion
NC_006328.1,57550,22816,mitochondrion
NC_006329.1,134758,17184,mitochondrion
NC_006330.1,8298,16367,mitochondrion
NC_006331.1,291264,21606,mitochondrion
NC_006332.1,134762,16661,mitochondrion
NC_006333.1,57547,19789,mitochondrion
NC_006335.1,46761,18767,mitochondrion
NC_006336.1,291261,19097,mitochondrion
NC_006337.1,52108,16578,mitochondrion
NC_006338.1,154580,22184,mitochondrion
NC_006339.1,52100,16628,mitochondrion
NC_006340.1,159185,17559,mitochondrion
NC_006341.1,134760,16778,mitochondrion
NC_006342.1,291265,17421,mitochondrion
NC_006344.1,52110,16294,mitochondrion
NC_006345.1,57553,17220,mitochondrion
NC_006346.1,291262,21657,mitochondrion
NC_006353.1,6645,15744,mitochondrion
NC_006354.1,6637,20254,mitochondrion
NC_006355.1,126671,16681,mitochondrion
NC_006364.1,33543,16367,mitochondrion
NC_006378.1,115427,16360,mitochondrion
NC_006379.1,6431,15113,mitochondrion
NC_006380.3,30521,16323,mitochondrion
NC_006381.1,30993,16533,mitochondrion
NC_006386.1,52888,11905,mitochondrion
NC_006387.1,211491,16581,mitochondrion
NC_006398.1,13677,16560,mitochondrion
NC_006401.1,70543,16636,mitochondrion
NC_006402.1,414351,17575,mitochondrion
NC_006403.1,167933,18180,mitochondrion
NC_006404.1,8453,15983,mitochondrion
NC_006405.1,167934,16818,mitochondrion
NC_006406.1,143525,16707,mitochondrion
NC_006407.1,164972,16285,mitochondrion
NC_006464.1,223987,15102,mitochondrion
NC_006465.1,231028,14975,mitochondrion
NC_006516.1,42725,15882,mitochondrion
NC_006517.1,90758,16538,mitochondrion
NC_006518.1,38632,15744,mitochondrion
NC_006519.1,9333,16022,mitochondrion
NC_006520.1,92651,15289,mitochondrion
NC_006522.1,37699,15923,mitochondrion
NC_006523.1,9293,17405,mitochondrion
NC_006524.1,9310,16922,mitochondrion
NC_006531.1,7936,16683,mitochondrion
NC_006533.1,86962,16682,mitochondrion
NC_006535.3,3352002,16693,mitochondrion
NC_006536.1,103812,16550,mitochondrion
NC_006537.1,48163,16700,mitochondrion
NC_006538.1,61127,16687,mitochondrion
NC_006539.1,86967,16713,mitochondrion
NC_006540.1,7939,16745,mitochondrion
NC_006541.1,86963,16714,mitochondrion
NC_006542.1,48164,16694,mitochondrion
NC_006543.1,103832,16833,mitochondrion
NC_006544.1,86966,16707,mitochondrion
NC_006545.1,86964,16704,mitochondrion
NC_006546.1,48165,16690,mitochondrion
NC_006547.2,7938,16678,mitochondrion
NC_006581.1,4097,430597,mitochondrion
NC_006626.1,381046,23584,mitochondrion
NC_006664.1,60585,16524,mitochondrion
NC_006665.1,7602,16427,mitochondrion
NC_006666.1,60560,16304,mitochondrion
NC_006678.1,213494,15521,mitochondrion
NC_006688.1,171366,17490,mitochondrion
NC_006689.1,8346,17847,mitochondrion
NC_006690.1,97956,17014,mitochondrion
NC_006817.1,7160,16665,mitochondrion
NC_006818.1,36212,16559,mitochondrion
NC_006835.1,140016,16763,mitochondrion
NC_006836.1,64495,54178,mitochondrion
NC_006837.1,1213189,58654,mitochondrion
NC_006838.1,78898,58745,mitochondrion
NC_006839.1,8364,17610,mitochondrion
NC_006853.1,9913,16338,mitochondrion
NC_006861.1,37429,154373,photosynthetic plastid
NC_006862.1,13642,47653,mitochondrion
NC_006880.1,79674,15772,mitochondrion
NC_006886.2,29158,16744,mitochondrion
NC_006887.1,8305,16375,mitochondrion
NC_006888.1,282260,16370,mitochondrion
NC_006889.1,282261,16370,mitochondrion
NC_006890.1,43107,16374,mitochondrion
NC_006891.1,205354,15515,mitochondrion
NC_006894.1,153946,25610,mitochondrion
NC_006895.1,299218,15474,mitochondrion
NC_006896.1,6876,14519,mitochondrion
NC_006897.1,72053,16658,mitochondrion
NC_006898.1,310697,17888,mitochondrion
NC_006899.1,197043,15304,mitochondrion
NC_006900.1,54181,16560,mitochondrion
NC_006901.1,33548,16648,mitochondrion
NC_006902.1,246299,17887,mitochondrion
NC_006914.1,10092,16300,mitochondrion
NC_006916.1,287944,15714,mitochondrion
NC_006917.1,221866,16784,mitochondrion
NC_006918.1,221867,16587,mitochondrion
