acc,taxid,title,slen
NC_001276.1,29159,"Crassostrea gigas mitochondrion, complete genome",18224
NC_001319.1,56867,"Marchantia paleacea chloroplast, complete genome",121024
NC_001320.1,39947,"Oryza sativa Japonica Group plastid, complete genome",134525
NC_001321.1,9770,"Balaenoptera physalus mitochondrion, complete genome",16398
NC_001322.1,7245,"Drosophila yakuba mitochondrion, complete genome",16019
NC_001324.2,5889,Paramecium aurelia mitochondrial complete genome,40469
NC_001325.1,9720,"Phoca vitulina mitochondrion, complete genome",16826
NC_001327.1,6253,"Ascaris suum mitochondrion, complete genome",14284
NC_001328.1,6239,"Caenorhabditis elegans mitochondrion, complete genome",13794
NC_001329.3,2587412,"Podospora anserina mitochondrion, complete genome",100314
NC_001453.1,7668,"Strongylocentrotus purpuratus mitochondrion, complete genome",15650
NC_001568.1,4177,"Epifagus virginiana chloroplast, complete genome",70028
NC_001572.1,7656,"Paracentrotus lividus mitochondrion, complete genome",15696
NC_001573.1,8355,"Xenopus laevis mitochondrion, complete genome",17553
NC_001601.1,9771,"Balaenoptera musculus mitochondrion, complete genome",16402
NC_001602.1,9711,"Halichoerus grypus mitochondrion, complete genome",16797
NC_001603.2,3039,"Euglena gracilis chloroplast, complete genome",143171
NC_001606.1,7962,"Cyprinus carpio mitochondrion, complete genome",16575
NC_001610.1,9267,"Didelphis virginiana mitochondrion, complete genome",17084
NC_001613.1,3111,"Prototheca wickerhamii mitochondrion, complete genome",55328
NC_001620.1,6661,"Artemia franciscana clone pMA-1 & pMA-3 mitochondrion, complete genome",15822
NC_001626.1,7757,"Petromyzon marinus mitochondrion, complete genome",16201
NC_001627.1,7594,"Patiria pectinifera mitochondrion, complete genome",16260
NC_001631.1,3350,"Pinus thunbergii chloroplast, complete genome",119707
NC_001636.1,34587,"Katharina tunicata mitochondrion, complete genome",15532
NC_001637.1,5755,"Acanthamoeba castellanii mitochondrion, complete genome",41591
NC_001638.1,3055,"Chlamydomonas reinhardtii mitochondrion, complete genome",15758
NC_001640.1,9796,"Equus caballus mitochondrion, complete genome",16660
NC_001643.1,9598,"Pan troglodytes mitochondrion, complete genome",16554
NC_001644.1,9597,"Pan paniscus mitochondrion, complete genome",16563
NC_001646.1,9600,"Pongo pygmaeus mitochondrion, complete genome",16389
NC_001660.1,56867,"Marchantia paleacea mitochondrion, complete genome",186609
NC_001665.2,10116,"Rattus norvegicus strain BN/SsNHsdMCW mitochondrion, complete genome",16313
NC_001666.2,4577,"Zea mays chloroplast, complete genome",140384
NC_001673.1,6398,"Lumbricus terrestris mitochondrion, complete genome",14998
NC_001675.1,2762,"Cyanophora paradoxa cyanelle, complete genome",135599
NC_001677.2,2769,"Chondrus crispus mitochondrion, complete genome",25836
NC_001700.1,9685,"Felis catus mitochondrion, complete genome",17009
NC_001708.1,27779,"Protopterus dolloi mitochondrion, complete genome",16646
NC_001713.1,1514140,"Odontella sinensis chloroplast, complete genome",119704
NC_001715.1,28583,"Allomyces macrogynus mitochondrion, complete genome",57473
NC_001717.1,8022,"Oncorhynchus mykiss mitochondrion, complete genome",16642
NC_001727.1,7980,"Formosania lacustris mitochondrion, complete genome",16558
NC_001761.1,42349,"Albinaria caerulea mitochondrion, complete genome",14130
NC_001762.1,1156965,"Pichia canadensis mitochondrion, complete genome",27694
NC_001778.1,49895,"Polypterus ornatipinnis mitochondrion, complete genome",16624
NC_001779.1,9809,"Rhinoceros unicornis mitochondrion, complete genome",16829
NC_001788.1,9793,"Equus asinus mitochondrion, complete genome",16670
NC_001794.1,9319,"Macropus robustus mitochondrion, complete genome",16896
NC_001799.1,383379,"Toxoplasma gondii RH apicoplast, complete genome",34996
NC_001804.1,7897,"Latimeria chalumnae mitochondrion, complete genome",16407
NC_001808.1,9807,"Ceratotherium simum mitochondrion, complete genome",16832
NC_001821.1,9361,"Dasypus novemcinctus mitochondrion, complete genome",17056
NC_001823.1,48483,"Reclinomonas americana mitochondrion, complete genome",69034
NC_001840.1,2771,"Cyanidium caldarium chloroplast, complete genome",164921
NC_001861.1,6282,"Onchocerca volvulus strain forest mitochondrion, complete genome",13747
NC_001865.1,3077,"Chlorella vulgaris chloroplast, complete genome",150613
NC_001872.1,3054,"Chlamydomonas moewusii mitochondrion, complete genome",22897
NC_001878.1,73431,"Florometra serratissima mitochondrion, complete genome",16005
NC_001879.2,4097,"Nicotiana tabacum plastid, complete genome",155943
NC_001887.1,35080,"Balanoglossus carnosus mitochondrion, complete genome",15708
NC_001892.1,41261,"Glis glis mitochondrion, complete genome",16602
NC_001912.1,7740,"Branchiostoma lanceolatum mitochondrion, complete genome",15076
NC_001913.1,9986,"Oryctolagus cuniculus mitochondrion, complete genome",17245
NC_001922.1,8496,"Alligator mississippiensis mitochondrion, complete genome",16646
NC_001941.1,9940,"Ovis aries mitochondrion, complete genome",16616
NC_001945.1,56549,"Dinodon semicarinatus mitochondrion, complete genome",17191
NC_001947.1,44522,"Pelomedusa subrufa mitochondrion, complete genome",16787
NC_001950.1,7830,"Scyliorhinus canicula mitochondrion, complete genome",16697
NC_001960.1,8030,"Salmo salar mitochondrion, complete genome",16665
NC_001992.1,9557,"Papio hamadryas mitochondrion, complete genome",16521
NC_002007.1,2787,"Porphyra purpurea mitochondrion, complete genome",36753
NC_002008.4,9615,"Canis lupus familiaris mitochondrion, complete genome",16727
NC_002009.1,9417,"Artibeus jamaicensis mitochondrion, complete genome",16651
NC_002010.1,34612,"Ixodes hexagonus mitochondrion, complete genome",14539
NC_002012.1,7797,"Squalus acanthias mitochondrion, complete genome",16738
NC_002069.2,75140,"Corvus frugilegus mitochondrion, complete genome",16931
NC_002073.3,8479,"Chrysemys picta mitochondrion, complete genome",16866
NC_002074.1,34632,"Rhipicephalus sanguineus mitochondrion, complete genome",14710
NC_002078.1,9818,"Orycteropus afer mitochondrion, complete genome",16816
NC_002079.1,138676,"Carassius langsdorfii mitochondrion, complete genome",16578
NC_002080.2,9365,"Erinaceus europaeus mitochondrion, complete genome",17447
NC_002081.1,8049,"Gadus morhua mitochondrion, complete genome",16696
NC_002082.1,9580,"Hylobates lar mitochondrion, complete genome",16472
NC_002083.1,9601,"Pongo abelii mitochondrion, complete genome",16499
NC_002174.1,47573,"Chrysodidymus synuroideus mitochondrion, complete genome",34119
NC_002176.1,96460,"Pupa strigosa mitochondrion, complete genome",14189
NC_002177.1,7729,"Halocynthia roretzi mitochondrion, complete genome",14771
NC_002184.1,6687,"Penaeus monodon mitochondrion, complete genome",15984
NC_002186.1,41882,"Mesostigma viride chloroplast, complete genome",118360
NC_002196.1,52775,"Ciconia boyciana mitochondrion, complete genome",17622
NC_002197.1,8928,"Ciconia ciconia mitochondrion, complete genome",17347
NC_002202.1,3562,"Spinacia oleracea plastid, complete genome",150725
NC_002235.1,5854,"Plasmodium reichenowi mitochondrion, complete genome",5966
NC_002254.1,3088,"Tetradesmus obliquus strain KS3-2 mitochondrion, complete genome",42781
NC_002322.1,93892,"Laqueus rubellus mitochondrion, complete genome",14017
NC_002333.2,7955,"Danio rerio mitochondrion, complete genome",16596
NC_002354.2,34504,"Paragonimus westermani mitochondrion, complete genome",14965
NC_002355.1,7091,"Bombyx mori mitochondrion, complete genome",15643
NC_002369.1,55149,"Sciurus vulgaris mitochondrion, complete genome",16507
NC_002386.1,8255,"Paralichthys olivaceus mitochondrion, complete genome",17090
NC_002387.1,4787,"Phytophthora infestans mitochondrion, complete genome",37957
NC_002391.1,9375,"Talpa europaea mitochondrion, complete genome",16884
NC_002471.1,8456,"Typhlonectes natans mitochondrion, complete genome",17005
NC_002503.2,9755,"Physeter catodon mitochondrion, complete genome",16428
NC_002504.1,30538,"Vicugna pacos mitochondrion, complete genome",16652
NC_002507.1,1423826,"Loligo bleekeri mitochondrion, complete genome",17211
NC_002508.1,5791,"Physarum polycephalum mitochondrion, complete genome",62862
NC_002521.1,37347,"Tupaia belangeri mitochondrion, complete genome",16754
NC_002529.1,38744,"Schistosoma mekongi mitochondrion, complete genome",14072
NC_002544.1,6182,"Schistosoma japonicum mitochondrion, complete genome",14085
NC_002545.1,6183,"Schistosoma mansoni mitochondrion, complete genome",14415
NC_002546.1,6192,"Fasciola hepatica mitochondrion, complete genome",14462
NC_002547.1,6207,"Taenia crassiceps mitochondrion, complete genome",13503
NC_002553.1,136089,"Malawimonas jakobiformis mitochondrion, complete genome",47328
NC_002571.1,2986,"Ochromonas danica mitochondrion, complete genome",41035
NC_002572.1,3034,"Rhodomonas salina mitochondrion, complete genome",48063
NC_002573.1,5762,"Naegleria gruberi mitochondrion, complete genome",49843
NC_002574.1,48457,"Sigmops gracilis mitochondrion, complete genome",16436
NC_002609.1,72491,"Triatoma dimidiata mitochondrion, complete genome",17019
NC_002612.1,126282,"Pteropus dasymallus mitochondrion, complete genome",16705
NC_002616.1,41697,"Sardinops melanostictus mitochondrion, complete genome",16881
NC_002619.1,94117,"Pteropus scapulatus mitochondrion, complete genome",16741
NC_002626.1,143942,"Chalinolobus tuberculatus mitochondrion, complete genome",16818
NC_002629.1,7552,"Lithobius forficatus mitochondrion, complete genome",15695
NC_002631.2,9371,"Echinops telfairi mitochondrion, complete genome",16549
NC_002639.1,7769,"Myxine glutinosa mitochondrion, complete genome",18909
NC_002646.1,59291,"Coregonus lavaretus mitochondrion, complete genome",16737
NC_002647.1,91975,"Diplophos taenia mitochondrion, complete genome",16418
NC_002648.1,81385,"Polymixia japonica mitochondrion, complete genome",16481
NC_002652.1,3037,"Euglena longa plastid, complete genome",73345
NC_002658.1,10169,"Thryonomys swinderianus mitochondrion, complete genome",16626
NC_002659.1,4952,"Yarrowia lipolytica mitochondrion, complete genome",47916
NC_002660.1,115425,"Cochliomyia hominivorax mitochondrion, complete genome",16022
NC_002672.1,147464,"Dinornis giganteus mitochondrion, complete genome",17070
NC_002673.1,147466,"Emeus crassus mitochondrion, complete genome",17061
NC_002674.1,136300,"Aulopus japonicus mitochondrion, complete genome",16653
NC_002693.2,85636,"Oenothera elata subsp. hookeri plastid plastome I, complete sequence",165728
NC_002694.1,34305,"Lotus japonicus chloroplast, complete genome",150519
NC_002697.1,235600,"Chrysomya putoria mitochondrion, complete genome",15837
NC_002707.2,7937,"Anguilla japonica mitochondrion, complete genome",16685
NC_002734.2,61084,"Plecoglossus altivelis mitochondrion, complete genome",16542
NC_002735.1,48717,"Tetrodontophora bielanensis mitochondrion, complete genome",15455
NC_002744.2,8499,"Caiman crocodilus mitochondrion, complete genome",17900
NC_002746.1,37698,"Isoodon macrourus mitochondrion, complete genome",16852
NC_002756.1,297010,"Lyciasalamandra atifi mitochondrion, complete genome",16650
NC_002761.2,7943,"Conger myriaster mitochondrion, complete genome",18705
NC_002762.1,4565,"Triticum aestivum chloroplast, complete genome",134545
NC_002763.1,9514,"Cebus albifrons mitochondrion, complete genome",16554
NC_002764.1,9546,"Macaca sylvanus mitochondrion, complete genome",16586
NC_002765.1,9470,"Nycticebus coucang mitochondrion, complete genome",16764
NC_002767.1,6216,"Hymenolepis diminuta mitochondrion, complete genome",13900
NC_002772.2,8805,"Eudromia elegans mitochondrion, complete genome",18305
NC_002778.2,8787,"Casuarius casuarius mitochondrion, complete genome",16756
NC_002780.1,159310,"Dogania subplana mitochondrion, complete genome",17289
NC_002781.3,30468,"Tinamus major mitochondrion, complete genome",16701
NC_002782.2,8823,"Apteryx haastii mitochondrion, complete genome",16980
NC_002783.2,8795,"Pterocnemia pennata mitochondrion, complete genome",16749
NC_002784.1,8790,"Dromaius novaehollandiae mitochondrion, complete genome",16711
NC_002785.1,8801,"Struthio camelus mitochondrion, complete genome",16595
NC_002793.1,8517,"Iguana iguana mitochondrion, complete genome",16633
NC_002805.1,8409,"Rana nigromaculata mitochondrion, complete genome",17804
NC_002807.1,7764,"Eptatretus burgeri mitochondrion, complete genome",17168
NC_002808.1,162630,"Echinosorex gymnura mitochondrion, complete genome",17088
NC_002811.1,9477,"Tarsius bancanus mitochondrion, complete genome",16927
NC_002812.1,148607,"Arctoscopus japonicus mitochondrion, complete genome",16577
NC_002813.1,83875,"Trachurus japonicus mitochondrion, complete genome",16559
NC_002980.1,74940,"Oncorhynchus tshawytscha mitochondrion, complete genome",16644
NC_003029.1,5911,"Tetrahymena thermophila mitochondrion, complete genome",47577
NC_003033.1,134600,"Ochotona collaris mitochondrion, complete genome",16968
NC_003039.1,9337,"Trichosurus vulpecula mitochondrion, complete genome",17191
NC_003040.1,3371150,"Episoriculus fumidus mitochondrion, complete genome",17488
NC_003041.1,3369700,"Microtus kikuchii mitochondrion, complete genome",16312
NC_003048.1,82268,"Hyaloraphidium curvatum mitochondrion, complete genome",29593
NC_003049.1,5334,"Schizophyllum commune mitochondrion, complete genome",49704
NC_003053.1,60187,"Rhizophydium sp. 136 mitochondrion, complete genome",68834
NC_003055.1,2885,"Pylaiella littoralis mitochondrion, complete genome",58507
NC_003057.1,6850,"Limulus polyphemus mitochondrion, complete genome",14985
NC_003058.1,111067,"Pagurus longicarpus mitochondrial genome, complete sequence",15630
NC_003061.1,109760,"Spizellomyces punctatus mitochondrion chromosome 2, complete sequence",1381
NC_003081.2,7070,"Tribolium castaneum mitochondrion, complete genome",15881
NC_003086.1,34513,"Terebratalia transversa mitochondrion, complete genome",14291
NC_003095.1,109271,"Osteoglossum bicirrhosum mitochondrion, complete genome",16006
NC_003096.1,8276,"Pantodon buchholzi mitochondrion, complete genome",15845
NC_003097.1,42892,"Engraulis japonicus mitochondrion, complete genome",16675
NC_003119.8,3880,"Medicago truncatula chloroplast, complete genome",124033
NC_003127.1,7892,"Neoceratodus forsteri mitochondrion, complete genome",16572
NC_003128.3,30397,"Buteo buteo mitochondrion, complete genome",18674
NC_003136.1,7871,"Chimaera monstrosa mitochondrion, complete genome",18580
NC_003137.1,7792,"Heterodontus francisci mitochondrion, complete genome",16708
NC_003159.1,68509,"Chauliodus sloani mitochondrion, complete genome",17814
NC_003160.1,143313,"Chlorophthalmus agassizi mitochondrion, complete genome",16221
NC_003161.1,143314,"Harpadon microchir mitochondrion, complete genome",16061
NC_003162.1,143315,"Saurida undosquamis mitochondrion, complete genome",15737
NC_003163.1,143322,"Myctophum affine mitochondrion, complete genome",16239
NC_003164.1,143323,"Diaphus splendidus mitochondrion, complete genome",15985
NC_003165.1,81370,"Lampris guttatus mitochondrion, complete genome",15598
NC_003166.1,143894,"Trachipterus trachypterus mitochondrion, complete genome",16162
NC_003167.1,143325,"Zu cristatus mitochondrion, complete genome",15987
NC_003168.1,143327,"Percopsis transmontana mitochondrion, complete genome",16079
NC_003169.1,143328,"Coelorinchus kishinouyei mitochondrion, complete genome",15942
NC_003172.1,143334,"Poromitra oscitans mitochondrion, complete genome",16387
NC_003173.1,94939,"Zenopsis nebulosus mitochondrion, complete genome",16065
NC_003175.1,71674,"Elassoma evergladei mitochondrion, complete genome",15780
NC_003176.1,143345,"Kareius bicoloratus mitochondrion, complete genome",15973
NC_003177.1,143348,"Stephanolepis cirrhifer mitochondrion, complete genome",16306
NC_003178.1,143306,"Ateleopus japonicus mitochondrion, complete genome",16650
NC_003179.1,143307,"Ijimaia dofleini mitochondrion, complete genome",16645
NC_003181.1,143326,"Polymixia lowei mitochondrion, complete genome",16473
NC_003182.1,48193,"Mugil cephalus mitochondrion, complete genome",16685
NC_003183.1,129043,"Cololabis saira mitochondrion, complete genome",16499
NC_003184.1,143332,"Exocoetus volitans mitochondrion, complete genome",16527
NC_003185.1,143336,"Danacetichthys galathenus mitochondrion, complete genome",16555
NC_003186.1,88713,"Rondeletia loricata mitochondrion, complete genome",16530
NC_003187.1,143337,"Hoplostethus japonicus mitochondrion, complete genome",16528
NC_003188.1,88663,"Beryx splendens mitochondrion, complete genome",16529
NC_003189.1,47700,"Myripristis berndti mitochondrion, complete genome",16531
NC_003191.1,143339,"Antigonia capros mitochondrion, complete genome",16508
NC_003192.1,43700,"Monopterus albus mitochondrion, complete genome",16622
NC_003193.1,143340,"Mastacembelus favus mitochondrion, complete genome",16498
NC_003194.1,143342,"Dactyloptena peterseni mitochondrion, complete genome",16717
NC_003195.1,143344,"Helicolenus hilgendorfi mitochondrion, complete genome",16728
NC_003196.1,143350,"Pagrus major mitochondrion, complete genome",17031
NC_003290.1,37003,"Kryptolebias marmoratus mitochondrion, complete genome",17329
NC_003314.1,29137,"Dugong dugon mitochondrion, complete genome",16850
NC_003321.1,9261,"Tachyglossus aculeatus mitochondrion, complete genome",16360
NC_003322.1,29139,"Vombatus ursinus mitochondrion, complete genome",16996
NC_003342.1,7883,"Lepidosiren paradoxa mitochondrion, complete genome",16403
NC_003343.1,174156,"Narceus annularus mitochondrion, complete genome",14868
NC_003344.1,174155,"Thyropygus sp. DVL-2001 mitochondrion, complete genome",15133
NC_003372.1,184539,"Crioceris duodecimpunctata mitochondrion, complete genome",15880
NC_003386.1,3240,"Psilotum nudum chloroplast, complete genome",138829
NC_003388.1,51453,"Trichoderma reesei mitochondrion, complete genome",42130
NC_003395.1,7092,"Bombyx mandarina mitochondrion, complete genome",15928
NC_003408.1,93934,"Coturnix japonica mitochondrion, complete genome",16697
NC_003415.1,51022,"Ancylostoma duodenale mitochondrion, complete genome",13721
NC_003416.2,51031,"Necator americanus mitochondrion, complete genome",13605
NC_003426.1,9643,"Ursus americanus mitochondrion, complete genome",16841
NC_003427.1,9644,"Ursus arctos mitochondrion, complete genome",17020
NC_003428.1,29073,"Ursus maritimus mitochondrion, complete genome",17017
NC_003489.1,7998,"Ictalurus punctatus mitochondrion, complete genome",16497
NC_003522.1,70783,"Acropora tenuis mitochondrion, complete genome",18338
NC_003712.2,54971,"Arenaria interpres mitochondrion, complete genome",16725
NC_003713.2,185689,"Haematopus ater mitochondrion, complete genome",16791
NC_003920.1,27288,"Saccharomyces castellii mitochondrion, complete genome",25753
NC_003970.1,71223,"Pyrocoelia rufa mitochondrion, complete genome",17739
NC_004021.1,113097,"Ranodon sibiricus mitochondrion, complete genome",16418
NC_004022.1,6204,"Taenia solium mitochondrion, complete genome",13709
NC_004023.1,29084,"Arctocephalus forsteri mitochondrion, complete genome",15413
NC_004024.1,80365,"Laminaria digitata mitochondrion, complete genome",38007
NC_004026.1,29082,"Macroscelides proboscideus mitochondrion, complete genome",16641
NC_004027.1,73815,"Manis tetradactyla mitochondrion, complete genome",16571
NC_004028.1,9983,"Lepus europaeus mitochondrion, complete genome",17734
NC_004029.2,62698,"Odobenus rosmarus rosmarus mitochondrion, complete genome",16565
NC_004030.2,34886,"Eumetopias jubatus mitochondrion, complete genome",16638
NC_004031.1,482537,"Galeopterus variegatus mitochondrion, complete genome",16748
NC_004032.1,48850,"Tamandua tetradactyla mitochondrion, complete genome",16395
NC_004069.1,9886,"Muntiacus reevesi mitochondrion, complete genome",16354
NC_004115.1,96477,"Chaetosphaeridium globosum chloroplast, complete genome",131183
NC_004118.1,96477,"Chaetosphaeridium globosum mitochondrion, complete genome",56574
NC_004251.1,6736,"Panulirus japonicus mitochondrion, complete genome",15717
NC_004298.1,6279,"Brugia malayi mitochondrion, complete genome",13657
NC_004299.1,31033,"Takifugu rubripes mitochondrion, complete genome",16447
NC_004309.1,81824,"Monosiga brevicollis strain ATCC 50154 mitochondrion, complete genome",76568
NC_004312.1,4899,"Schizosaccharomyces octosporus mitochondrion, complete genome",44227
NC_004321.1,189538,"Roboastra europaea mitochondrion, complete genome",14472
NC_004332.1,4897,"Schizosaccharomyces japonicus mitochondrion, complete genome",80059
NC_004336.1,5207,"Cryptococcus neoformans var. grubii mitochondrion, complete genome",24874
NC_004357.1,6938,"Ornithodoros moubata mitochondrion, complete genome",14398
NC_004370.1,34615,"Ixodes persulcatus mitochondrion, complete genome",14539
NC_004372.1,94919,"Aphredoderus sayanus mitochondrion, complete genome",16601
NC_004373.1,181393,"Carapus bermudensis mitochondrion, complete genome",16613
NC_004374.1,181397,"Bassozetus zenkevitchi mitochondrion, complete genome",16579
NC_004375.1,181404,"Cataetyx rubrirostris mitochondrion, complete genome",16495
NC_004376.1,181406,"Diplacanthopoma brachysoma mitochondrion, complete genome",16495
NC_004378.1,228346,"Lamprogrammus niger mitochondrion, complete genome",16564
NC_004379.1,69944,"Lota lota mitochondrion, complete genome",16527
NC_004380.1,8073,"Lophius americanus mitochondrion, complete genome",16479
NC_004383.1,717990,"Caulophryne jordani mitochondrial DNA, complete genome",16657
NC_004384.1,181425,"Melanocetus murrayi mitochondrion, complete genome",16758
NC_004385.1,120839,"Melanotaenia lacustris mitochondrion, complete genome",16487
NC_004386.1,126353,"Hypoatherina tsurugae mitochondrion, complete genome",16566
NC_004387.1,8090,"Oryzias latipes mitochondrion, complete genome",16714
NC_004388.1,33528,"Gambusia affinis mitochondrion, complete genome",16614
NC_004389.1,88671,"Cetostoma regani mitochondrion, complete genome",16508
NC_004390.1,181429,"Eutaeniophorus sp. 033-Miya mitochondrion, complete genome",16508
NC_004391.1,88656,"Anoplogaster cornuta mitochondrion, complete genome",16511
NC_004392.1,181435,"Monocentris japonicus mitochondrion, complete genome",16567
NC_004393.1,107241,"Beryx decadactylus mitochondrion, complete genome",16535
NC_004394.1,181437,"Ostichthys japonicus mitochondrion, complete genome",16541
NC_004395.1,181438,"Sargocentron rubrum mitochondrion, complete genome",16526
NC_004396.1,181440,"Parazen pacificus mitochondrion, complete genome",16848
NC_004397.1,181443,"Zenion japonicum mitochondrion, complete genome",16843
NC_004398.1,181445,"Allocyttus niger mitochondrion, complete genome",16750
NC_004399.1,181447,"Neocyttus rhomboidalis mitochondrion, complete genome",16745
NC_004400.1,166256,"Hypoptychus dybowskii mitochondrion, complete genome",16479
NC_004401.1,181450,"Indostomus paradoxus mitochondrion, complete genome",16152
NC_004402.1,181453,"Dactyloptena tiltoni mitochondrion, complete genome",16751
NC_004403.1,181455,"Scalicus amiscus mitochondrion, complete genome",16526
NC_004404.1,137881,"Cottus reinii mitochondrion, complete genome",16561
NC_004405.1,3049902,"Carangoides armatus mitochondrion, complete genome",16556
NC_004406.1,181461,"Caranx melampygus mitochondrion, complete genome",16593
NC_004407.1,181464,"Emmelichthys struhsakeri mitochondrion, complete genome",16502
NC_004408.1,181466,"Pterocaesio tile mitochondrion, complete genome",16496
NC_004409.1,2607498,"Lycodes toyamensis mitochondrion, complete genome",16697
NC_004410.1,283025,"Pholis crassispina mitochondrion, complete genome",16522
NC_004411.1,57847,"Petroscirtes breviceps mitochondrion, complete genome",16680
NC_004412.1,181472,"Salarias fasciatus mitochondrion, complete genome",16496
NC_004413.1,1312387,"Arcos sp. KU 149 mitochondrial DNA, complete genome",16534
NC_004414.1,86220,"Rhyacichthys aspro mitochondrion, complete genome",16518
NC_004415.1,86232,"Eleotris acanthopoma mitochondrion, complete genome",16522
NC_004416.1,181478,"Sufflamen fraenatum mitochondrion, complete genome",16584
NC_004417.1,139722,"Gymnothorax kidako mitochondrion, complete genome",16579
NC_004418.1,178879,"Polypterus senegalus senegalus mitochondrion, complete genome",16627
NC_004419.1,7913,"Polyodon spathula mitochondrion, complete genome",16512
NC_004420.1,178880,"Scaphirhynchus cf. albus mitochondrion, complete genome",16493
NC_004449.1,1042646,"Gadus chalcogrammus mitochondrion, complete genome",16571
NC_004454.2,109461,"Varroa destructor mitochondrion, complete genome",16476
NC_004465.1,194544,"Triops cancriformis mitochondrion, complete genome",15101
NC_004514.1,2231603,"Lecanicillium muscarium mitochondrion, complete genome",24499
NC_004530.1,8228,"Euthynnus alletteratus mitochondrion, complete genome",16520
NC_004537.1,7741,"Branchiostoma belcheri mitochondrion, complete genome",15076
NC_004538.1,37083,"Eudyptula minor mitochondrion, complete genome",17611
NC_004539.1,50365,"Anser albifrons mitochondrion, complete genome",16737
NC_004543.1,48387,"Anthoceros formosae chloroplast, complete genome",161162
NC_004561.1,33113,"Atropa belladonna chloroplast, complete genome",156687
NC_004563.1,9888,"Muntiacus muntjak mitochondrion, complete genome",16354
NC_004570.1,51511,"Ciona savignyi mitochondrion, complete genome",14737
NC_004575.1,46218,"Coturnix chinensis mitochondrion, complete genome",16687
NC_004577.1,71854,"Muntiacus crinifrons mitochondrion, complete genome",16357
NC_004590.1,170189,"Alepocephalus tenebrosus mitochondrion, complete genome",16644
NC_004591.1,170193,"Lipolagus ochotensis mitochondrion, complete genome",17338
NC_004592.1,75939,"Dallia pectoralis mitochondrion, complete genome",17157
NC_004593.1,8010,"Esox lucius mitochondrion, complete genome",16695
NC_004594.1,61620,"Galaxias maculatus mitochondrion, complete genome",16508
NC_004595.1,170196,"Glossanodon semifasciatus mitochondrion, complete genome",16627
NC_004596.1,170199,"Nansenia ardesiaca mitochondrion, complete genome",16620
NC_004597.1,170202,"Platytroctes apus mitochondrion, complete genome",16632
NC_004598.1,170203,"Retropinna retropinna mitochondrion, complete genome",16563
NC_004599.1,137522,"Salangichthys microdon mitochondrion, complete genome",16598
NC_004600.1,170206,"Opisthoproctus soleatus mitochondrion, complete genome",16645
NC_004622.2,7119,"Antheraea pernyi mitochondrion, complete genome",15566
NC_004623.1,224131,"Harpochytrium sp. JEL105 mitochondrion, complete genome",24169
NC_004624.1,224130,"Monoblepharella sp. JEL15 mitochondrion, complete genome",60432
NC_004677.2,88728,"Pinus koraiensis chloroplast, complete genome",117190
NC_004691.1,284593,"Candida glabrata mitochondrion, complete genome",20063
